code,stock,concept,cause,thing,url,explain,title,dt
sz002919,名臣健康,数字经济/人工智能,游戏+镇魂街IP手游+元宇宙+日化,国家发展改革委创新和高技术发展司负责人孙伟在国新办发布会上表示，适度超前部署数字基础设施建设。加快光纤网络扩容提速，5G的商用部署和规模应用，深入实施“东数西算”工程，加快基础设施数字化、智能化的改造。,aj5pvl5dej,"1、23年3月17日互动易回复，公司目前在研究ChatGPT在游戏研发上的应用。,2、根据企查查信息显示，心源互动的全资子公司喀什奥术，目前大股东已经变更为名臣健康，由喀什奥术研发，在12月22日上线的国漫镇魂街IP手游《镇魂街：天生为王》，其中喀什奥术所享受的7%-18%的流水分成直接归于名臣健康，目前《镇魂街：天生为王》首周流水已经破亿。,3、公司进入游戏行业陆续吸纳引入了在XR行业内知名企业中具有丰富从业经验的人员。通过资源整合，积累了为元宇宙XR全产业链上500多家核心硬件、内容、应用企业及其从业者的服务经验。,4、日化业务，公司是一家研发、生产、销售健康护理用品的高新技术企业，主要产品包括洗发水、护发素、沐浴露、啫喱水及护肤品等。游戏业务，公司从事网络游戏创意策划、研发制作和商业化运营。2021 年第四季度开始试水游戏发行业务。",04月04日名臣健康股票异动解析,2023-04-04
sh600667,太极实业,半导体,芯片\u002FDRAM封测+DDR5+光伏+BIPV,3月31日盘中讯，日本宣布将从7月开始对23种芯片制造设备的出口加以限制。,fg5f76mdh7,"1、公司旗下的海太半导体（持有55%股权）与SK海力士合资，专为SK海力士提供DRAM封装测试业务，后者是世界前三大DRAM制造商之一。从技术路线来看DRAM主要细分以DDR4技术为主，而新一代DDR5性能更优有望替代DDR4。据公司22年半年报海太半导体正在投资实施DDR5升级改造工程。,2、公司拥有光伏产业相关建设资质，并拥有丰富的建设经验，是国内众多光伏制造及光伏发电客户的优秀服务商之一。,3、公司工程技术业务主要服务于电子高科技与高端制造，生物医药与保健，市政与路桥，物流与民用建筑，电力，综合业务等6大业务领域；光伏电站的投资和运营业务于2014年开始逐步形成。,4、子公司十一科技具备提供可实施BIPV光伏建筑一体化方案的能力。23年3月30日公告，子公司十一科技收中标通知书，确认为滨州沾化2GW渔光互补发电项目(EPC二标段)的中标单位，中标价34.72亿元。",04月04日太极实业股票异动解析,2023-04-04
sh688498,源杰科技,半导体,光芯片+光通信上游+5G+次新股,3月31日盘中讯，日本宣布将从7月开始对23种芯片制造设备的出口加以限制。,5l5yhzk83t,"1、23年4月4日券商研报称，算力通胀下拉动光通信需求，产业链最上游的光芯片显著受益。公司作为国内稀缺的光芯片供应商，采用IDM全流程体系生产。目前公司100G芯片可用于400G\u002F800G等光模块，将在今年送样测试；CW大功率激光器可用于CPO领域，有望持续受益算力需求的扩张。,2、公司是国内领先的光芯片供应商，产品主要应用于光纤接入、4G\u002F5G移动通信网络和数据中心等领域。主要产品2.5G激光器芯片系列占比43%，10G激光器芯片系列占比46%，25G激光器芯片系列占比11%。,3、公司已建立了包含芯片设计、晶圆制造、芯片加工和测试的IDM全流程业务体系，已实现向客户A1、海信宽带、中际旭创、铭普光磁等国际前十大及国内主流光模块厂商批量供货，产品用于客户A、中兴通讯、诺基亚等国内外大型通讯设备商，并最终应用于中国移动、中国联通、中国电信、AT&T等国内外知名运营商网络中。,4、在车载激光雷达领域，公司的主要产品涵盖1550波段车载激光雷达激光器芯片等产品。,（详细解析请查阅，22年12月21日异动解析）",04月04日源杰科技股票异动解析,2023-04-04
sh688699,明微电子,半导体,芯片封测+LED驱动芯片,3月31日盘中讯，日本宣布将从7月开始对23种芯片制造设备的出口加以限制。,fg5f76m0k8,"1、公司是一家主要从事集成电路研发设计、封装测试和销售的高新技术企业。产品主要包括LED显示驱动芯片、LED照明驱动芯片等领域。已积累利亚德、洲明、欧普照明等众多优质客户，同时大力布局封测业务，发挥产业链整合优势。,2、公司MiniLED驱动芯片已量产，智能调光调色的照明驱动产品也开始批量生产。,3、公司2021年度Mini LED显示驱动芯片实现销售收入2.43亿元，占总营业收入比重19.41%。公司Mini LED驱动芯片应用于直显领域，预计2022年推出第一代Mini背光智能设备，开拓新的利润增长点。公司已有部分产品可以使用在Micro LED上。",04月04日明微电子股票异动解析,2023-04-04
sz002222,福晶科技,半导体,光刻光源+光通讯+激光雷达,3月31日盘中讯，日本宣布将从7月开始对23种芯片制造设备的出口加以限制。,5l5yhzktdk,"1、光刻机需要用到大量高性能要求光学元件，公司具备精密光学元件供应能力，且积极扩产应对医疗、激光雷达、AR\u002FVR、光刻机等高成长应用带来的需求；其中约10-20%收入来自光通信，主要客户Lumentum。,2、公司曾通过欧洲代理向ASML提供极其少量光学元件，控股61%子公司福建福创光电科技有限公司开展衍射光学元件研究、生产，衍射光学元件是光刻机中一系列可动的镜片，主要用于产生光刻所需要的光源。,3、公司是业内少数能够为激光客户提供晶体、光学、器件产品一站式综合服务的供应商。公司未直接生产光模块产品，部分精密光学元件产品应用于光通讯领域，相关产品已成功推向Lumentum等光器件厂商。,4、公司在激光雷达，半导体设备领域配合国内头部厂商进行光学元件的开发。公司LBO、BBO全球市占率约80%，是国内少数能够为激光客户提供“ 晶体+光学元件+激光器件”一站式综合服务的供应商。",04月04日福晶科技股票异动解析,2023-04-04
sh688368,晶丰明源,半导体,英伟达合作+电源管理芯片+消费电子,3月31日盘中讯，日本宣布将从7月开始对23种芯片制造设备的出口加以限制。,aj5pvl3bjw,"1、23年4月3日，券商研报称公司和英伟达合作的多项电源控制器预计下半年正式产生收入。,2、公司LED业务逐渐触底反弹，前期由于需求不佳所压制的ACDC业务也有望于23年发力，且国内进展最为领先的大电流DCDC打开长期想象空间。持股公司凌欧创芯：22年预计收入1.3亿左右，毛利率在58%左右，净利润在4000万左右，且预计车规级MCU出货量可达百万颗。,3、公司推出具有IGBT结构的复合功率管20W快充产品目前已进入市场，磁耦+ACOT65WGAN快充产品已完成研发并进入客户导入阶段；VCC电容系列产品已进入批量生产阶段。,4、公司正式推出首款国产10相数字控制电源管理芯片BPD93010，已正式进入市场且首家客户正式量产。,5、公司是国内领先的电源管理驱动类芯片设计企业之一，主营业务为模拟半导体电源管理类芯片的设计、研发与销售。公司现有产品包括LED照明驱动芯片、电机驱动芯片、AC\u002FDC电源芯片、DC\u002FDC电源芯片等。",04月04日晶丰明源股票异动解析,2023-04-04
sh603083,剑桥科技,光模块,供货微软+光模块+CPO+5G,CPO技术有望大量应用在高性能计算和AI领域,5l5yhznas9,"1、23年3月24日盘后公告，公司表示已直接或通过通信设备制造商间接向微软供应高速光模块产品。公司23年3月30日表示今年可能最大的营收是宽带接入，在高速光模块800G可能会有一席之地，无线刚转型，在转Wi-Fi7可能会稍微缓一缓，但下半年也会增长。,2、公司在四十八届OFC现场展示最新的800G光模块和1.6T相关技术，助力客户实现51.2T级交换。公司在光模块技术、自主光器件和在板激光器技术(BOB)等具有较强的集成和产业链整合能力，22年公司集中研发资源支持重点项目如新一代100G 单波产品系列等。,3、公司的高速光模块产品面向电信运营商和数据中心运营商",04月04日剑桥科技股票异动解析,2023-04-04
sz300303,聚飞光电,光模块,光模块+LED封装+半导体封装,CPO技术有望大量应用在高性能计算和AI领域,aj5pvl68gf,"1、23年4月3日盘后互动，公司自身有光模块封装业务。参股3.9%的子公司熹联光芯的硅光芯片可以用于CPO。熹联德国子公司自研产品有1.6T CPO。,2、公司专业从事SMD LED产品的研发、生产与销售，主营业务属于LED封装。,3、公司向半导体封装（分立器件封装）、膜材产业拓展，如功率器件、光器件、光学膜材等。,4、公司的车用LED业务发展良好。公司的Mini LED产品获得车企及电子终端客户的广泛认可。",04月04日聚飞光电股票异动解析,2023-04-04
sz000988,华工科技,光模块,光模块+微软+汽车电子,CPO技术有望大量应用在高性能计算和AI领域,8w5srqp2g7,"1、公司在机构调研时表示，预计今年在北美的销售收入有望达到1.5亿美元规模，其中大概约8成是用于AI的光模块，出货产品从100G到800G全覆盖，并确定了1.6T产品研发计划。预计今年能够达到20亿至25亿美元，后续可能逐步增长到每年50亿美元。北美市场公司800G 的产品预计能达到第二第三的份额，在相干光模块领域，会争取第一市场份额。,2、在头部客户方面，公司跟英伟达、微软、ARISTA、Intel等也进行了良好对接，预计今年内在北美大客户方面能够获取一定份额。,3、公司全球第一个推出了400GZR+PRO产品，已经得到了十几家客户的关注，开始送样并收获小批量订单。,4、公司业务包含了通信、激光、传感和防伪四大业务，通信业务华工正源光器件是华为、中兴的核心供应商。,5、华工科技汽车传感器业务主要涵盖 NTC 温度传感器（全球市场份额70%）和 PTC 加热器（国内市场份额60%）两大品类。",04月04日华工科技股票异动解析,2023-04-04
sh600787,中储股份,一带一路,一带一路+供应链物流+国资,4月3日上午，国内开行的首趟陆海新通道中缅跨境铁公联运班列中心从重庆发出，通过瑞丽市畹町口岸出口至缅甸,2a64a8np33,"1、子公司英国HB在一带一路沿线中部分国家有设立仓储中心和中转点。,2、公司主要提供商品存储、运输等服务，运输网络覆盖全国20多个省、自治区和直辖市。子公司中储智运利用移动互联网、云计算、大数据、人工智能等技术，搭建了中储智运物流运力交易共享平台，帮助物流需求方、供给方及其他企业进行物流运力自由交易。,3、公司已发展成为实体网络覆盖全国主要城市和全球主要经济区域",04月04日中储股份股票异动解析,2023-04-04
sh603153,上海建科,一带一路,一带一路+工程监理+上海国资+次新股,4月3日上午，国内开行的首趟陆海新通道中缅跨境铁公联运班列中心从重庆发出，通过瑞丽市畹町口岸出口至缅甸,2a64a8nyp4,"1、公司下属建科工程曾建以色列海发新港，这是国家一带一路在东地中海地区落地生根浓墨重彩的一笔。,2、公司主营业务是工程监理服务及全过程工程咨询服务，实控人为上海市国资委。,3、根统计，2021年全国工程监理业务收入总额为1720.3亿元，公司工程监理业务产值规模多年位列全国第一。,4、公司曾承接国家会展中心、浦东国际机场、北京环球影城等众多重大建设项目，具有丰富的项目经验。,5、2023年1-3月预计实现营业收入7.1亿元至7.9亿元，同比增长7.15%~19.22%；归母净利润1100万元至1700万元，同比扭亏。",04月04日上海建科股票异动解析,2023-04-04
sh601390,中国中铁,一带一路,一带一路+基建+铁路电气化+国资,4月3日上午，国内开行的首趟陆海新通道中缅跨境铁公联运班列中心从重庆发出，通过瑞丽市畹町口岸出口至缅甸,8w5srqq7qq,"1、公司实控人为国资委，主营基建建设、勘察设计与咨询服务、工程设备和零部件制造、房地产开发等，是全球最大的多功能综合型建设集团之一，已在境外逾55个国家和地区承建超230个海外项目，公司参建多个“一带一路”项目。,2、铁路电气化技术方面，公司电气化技术实力代表着当前中国电气化最高水平，参建并已投入运行的京沪、京广等高铁均达到世界一流水平。,3、22年11月23日公告，公司共中标15个重大工程，中标价合计约865.25亿元，约占本公司中国会计准则下2021年营业收入的8.08%。,4、23年3月31日公告，公司22年净利润312.76亿元，同比去年增长13.25%。",04月04日中国中铁股票异动解析,2023-04-04
sh600125,铁龙物流,一带一路,一带一路+铁路特种集装箱+冷链物流,4月3日上午，国内开行的首趟陆海新通道中缅跨境铁公联运班列中心从重庆发出，通过瑞丽市畹町口岸出口至缅甸,5l5yhzpcq0,"1、公司淄博—哈萨克斯坦冷藏箱中欧班列成功开行，赣州—莫斯科、齐齐哈尔—莫斯科的班列也在积极筹划中；参股企业上海铁洋从事俄罗斯物流运输业务。,2、公司是是一家以铁路特种集装箱运输为主体",04月04日铁龙物流股票异动解析,2023-04-04
sh688525,佰维存储,存储芯片,半导体存储器+DDR5+信创+次新股,3月31日，我方对美光公司在华销售产品启动网络安全审查。目前，美光在全球DRAM/NAND Flash市场分别占据25%和12%的份额，在车用存储市场占比超40%份额。,c65lzfm6nn,"1、公司主从事半导体存储器的存储介质应用研发、封装测试、生产和销售，存储产品占收入比重达99%；已推出高性能内存芯片和内存模组。23年2月27日国家大基金二期入股长江存储，长江储存增资至1052.7亿元，增幅超87%。,2、公司已正式发布DDR5内存模组，满足PC及服务器对极致性能的追求，并支持数据纠错机制、写入数据均衡、智能电源管理、数据循环冗余校验等功能。,3、公司是国内半导体存储厂商中通过SoC芯片及系统平台认证最多的企业之一，自建了封测厂以满足自身的NAND与DRAM存储芯片及模组的封测制造需求。,4、公司为信创固态硬盘的主力供应商，有适用于信创应用场景的固态硬盘、内存模组等，可满足信创领域安全可控的产品应用需求。,5、公司针对智能汽车前装市场已推出车载eMMC、UFS、LPDDR以及BGA SSD等嵌入式存储芯片，目前处于客户验证和导入阶段。",04月04日佰维存储股票异动解析,2023-04-04
sz300458,全志科技,存储芯片,RISC- V+MCU芯片+消费电子,3月31日，我方对美光公司在华销售产品启动网络安全审查。目前，美光在全球DRAM/NAND Flash市场分别占据25%和12%的份额，在车用存储市场占比超40%份额。,3y61e42z3t,"1、23年4月3日互动易回复，存储芯片主要是根据客户需求，与公司主控Soc产品共同搭配使用在下游领域广泛应用中。,2、21年公司基于RISC- V架构内核开发的D1芯片已经实现量产。20年公告与阿里平头哥合作研发芯片，双方会持续在RISC-V架构生态上进行合作并持续推出新产品。,3、22年公司为智能车载应用领域客户提供车规级主控SOC及套片产品包。,4、公司专注于芯片设计主业；公司针对VR一体机应用推出芯片产品。已经量产XR系列MCU+WiFi产品；公司V系列产品线广泛支持各类AI视觉应用。公司是 Arm 架构的 SoC 芯片设计龙头，20 年推出 R329 智能语音芯片；公司在智能音箱领域与阿里等合作。",04月04日全志科技股票异动解析,2023-04-04
sz001366,播恩集团,生猪,猪饲料+次新股,近期新希望计提大量损失，可见目前猪瘟影响超出市场预期。,fg5f76qlw7,"1、非洲猪瘟超预期，目前猪病边际加重，部分地区严重程度超去年同期水平，行业补栏难度加大。目前补栏缓慢，养殖成本环比提升幅度在10%左右，成本上行。,2、公司主营业务为饲料的研发、生产、销售，主要产品为猪用饲料，包括优质教槽料、乳猪料等高端幼小猪营养产品。23年3月23日互动表示，公司掌握了包括饲料产品配方技术、蛋鸡料补钙技术、生物发酵技术为代表的多项核心技术。,3、因使用量在猪生长阶段所占比例较小，教槽料、乳猪料的行业竞争程度小于后端料市场。公司配合饲料细分产品教槽料、乳猪料的收入占比较同业大规模公司更高，达60%以上。,4、2023年1-3月公司净利润为1405万元至2205万元，同比增长1058%至1717%。",04月04日播恩集团股票异动解析,2023-04-04
sh600975,新五丰,生猪,猪肉+养殖,近期新希望计提大量损失，可见目前猪瘟影响超出市场预期。,3y61e45kpl,"1、机构研报称，新一轮自然减毒非瘟疫情仍将继续催化。华南部分地区已经严重，目前逐步进入雨季后，疫情会继续发酵。23Q1养猪企业成本大概率明显抬升，疫情影响再次做实强化。23年3月24日互动回复，2022年度公司（含天心种业）生猪出栏数量约为183万头，生猪出栏量同比增长122.32%。,2、公司主营业务为生猪养殖、肉品销售、饲料加工。公司主要产品包括生猪、肉品和饲料。从事供港澳生猪业务，是国内活大猪主要出口商之一。,3、公司生猪屠宰主要由控股子公司广联公司负责，广联公司拥有每年单班70万头的生猪屠宰加工能力和4万吨的冷库储藏能力，屠宰分割并加工成白条、鲜肉或冻品后对外销售。公司饲料自主生产由生物科技分公司、动物营养分公司、生物饲料衡阳分公司负责。",04月04日新五丰股票异动解析,2023-04-04
sz001368,通达创智,其他,法国贸易+年报增长+消费品制造+次新股,,aj5pvl83ne,"1、法国总统马克龙将于23年4月5日至7日对中国进行国事访问，23年4月4日互动，中国和欧盟（包括法国、德国等）互为重要的贸易伙伴，双边贸易持续上升，中欧合作关系良好。法国是公司重要市场，2022上半年公司向法国市场销售额11324.88万元、占比20.42%。,2、23年3月30日公告，公司22年净利润1.32亿元， 同比增加0.22%。,3、公司在OEM、JDM和ODM模式下，已进入迪卡侬、宜家、Wagner、YETI等全球性客户供应链。,4、公司主营业务是体育户外、家居生活、健康护理等消费品的研发、生产和销售。逐步拓展了包括云顶信息（电动牙刷）、宝洁、美的、MERCADONA、Helen在内等多家知名企业为公司的新增客户。",04月04日通达创智股票异动解析,2023-04-04
